6, 2
0.98, 14.50, 94.00, 10.25, 0.00, 0.00, 5.55, 1.33
0.98, 14.50, 94.00, 10.25, 0.00, 0.00, 5.55, 1.33
0.98, 14.50, 94.00, 10.25, 0.00, 0.00, 5.55, 1.33
0.98, 14.50, 94.00, 10.25, 0.00, 0.00, 5.55, 1.33
0.90, 63.50, 18.50, 22.50, 0.00, 0.00, 0.84, 8.28
0.90, 63.50, 18.50, 22.50, 0.00, 0.00, 1.46, 5.38
0.90, 63.50, 18.50, 22.50, 0.00, 0.00, 0.71, 5.16
0.90, 63.50, 18.50, 22.50, 0.00, 0.00, 9.68, 9.60
0.86, 88.00, 94.00, 47.00, 0.00, 0.00, 9.50, 7.30
0.86, 88.00, 94.00, 47.00, 0.00, 0.00, 9.95, 1.97
0.86, 88.00, 94.00, 47.00, 0.00, 0.00, 9.34, 3.49
0.86, 88.00, 94.00, 47.00, 0.00, 0.00, 8.31, 7.87
0.82, 12.50, 18.50, 47.00, 0.00, 0.00, 7.05, 3.77
0.82, 12.50, 18.50, 47.00, 0.00, 0.00, 7.41, 1.46
0.82, 12.50, 18.50, 47.00, 0.00, 0.00, 6.95, 1.16
0.82, 12.50, 18.50, 47.00, 0.00, 0.00, 5.98, 4.93
0.79, 37.00, 43.00, 47.00, 0.00, 0.00, 8.52, 7.73
0.79, 37.00, 43.00, 47.00, 0.00, 0.00, 9.90, 1.27
0.79, 37.00, 43.00, 47.00, 0.00, 0.00, 9.63, 0.93
0.79, 37.00, 43.00, 47.00, 0.00, 0.00, 8.75, 9.44
0.76, 61.50, 16.50, 22.50, 0.00, 0.00, 4.77, 9.79
0.76, 61.50, 16.50, 22.50, 0.00, 0.00, 3.93, 9.68
0.76, 61.50, 16.50, 22.50, 0.00, 0.00, 4.77, 9.79
0.76, 61.50, 16.50, 22.50, 0.00, 0.00, 3.93, 9.40
0.74, 86.00, 45.00, 20.50, 0.50, 0.00, 0.07, 0.90
0.74, 86.00, 45.00, 20.50, 0.50, 0.00, 0.05, 1.19
0.74, 86.00, 45.00, 20.50, 0.50, 0.00, 0.01, 0.94
0.74, 86.00, 45.00, 20.50, 0.50, 0.00, 0.04, 1.17
0.71, 10.50, 69.50, 20.50, 0.50, 0.00, 0.37, 1.27
0.71, 10.50, 69.50, 20.50, 0.50, 0.00, 0.40, 1.72
0.71, 10.50, 69.50, 20.50, 0.50, 0.00, 0.37, 1.29
0.71, 10.50, 69.50, 20.50, 0.50, 0.00, 0.40, 1.67
0.69, 35.00, 94.00, 20.50, 0.50, 0.00, 0.85, 1.74
0.69, 35.00, 94.00, 20.50, 0.50, 0.00, 0.79, 2.05
0.69, 35.00, 94.00, 20.50, 0.50, 0.00, 0.77, 1.73
0.69, 35.00, 94.00, 20.50, 0.50, 0.00, 0.81, 1.93
0.66, 59.50, 18.50, 20.50, 0.50, 0.00, 0.18, 2.40
0.66, 59.50, 18.50, 20.50, 0.50, 0.00, 0.10, 2.23
0.66, 59.50, 18.50, 20.50, 0.50, 0.00, 0.10, 2.40
0.66, 59.50, 18.50, 20.50, 0.50, 0.00, 0.10, 2.14
0.64, 84.00, 43.00, 20.50, 0.50, 0.00, 0.85, 6.78
0.64, 84.00, 43.00, 20.50, 0.50, 0.00, 0.54, 6.80
0.64, 84.00, 43.00, 20.50, 0.50, 0.00, 0.77, 6.75
0.64, 84.00, 43.00, 20.50, 0.50, 0.00, 0.56, 6.67
0.62, 08.50, 67.50, 20.50, 0.50, 0.00, 0.60, 2.07
0.62, 08.50, 67.50, 20.50, 0.50, 0.00, 0.49, 2.22
0.62, 08.50, 67.50, 20.50, 0.50, 0.00, 0.45, 2.08
0.62, 08.50, 67.50, 20.50, 0.50, 0.00, 0.50, 2.04
0.98, 14.50, 94.00, 10.25, 0.00, 0.10, 4.58, 6.47
0.98, 14.50, 94.00, 10.25, 0.00, 0.10, 4.63, 6.37
0.98, 14.50, 94.00, 10.25, 0.00, 0.10, 4.63, 6.44
0.98, 14.50, 94.00, 10.25, 0.00, 0.10, 4.59, 6.29
0.90, 63.50, 18.50, 22.50, 0.00, 0.10, 9.03, 2.92
0.90, 63.50, 18.50, 22.50, 0.00, 0.10, 9.87, 9.87
0.90, 63.50, 18.50, 22.50, 0.00, 0.10, 9.14, 9.58
0.90, 63.50, 18.50, 22.50, 0.00, 0.10, 8.09, 4.33
0.86, 88.00, 94.00, 47.00, 0.00, 0.10, 6.28, 0.89
0.86, 88.00, 94.00, 47.00, 0.00, 0.10, 6.91, 5.60
0.86, 88.00, 94.00, 47.00, 0.00, 0.10, 6.37, 7.03
0.86, 88.00, 94.00, 47.00, 0.00, 0.10, 5.27, 1.73
0.82, 12.50, 18.50, 47.00, 0.00, 0.10, 3.53, 7.31
0.82, 12.50, 18.50, 47.00, 0.00, 0.10, 4.03, 4.91
0.82, 12.50, 18.50, 47.00, 0.00, 0.10, 3.54, 4.61
0.82, 12.50, 18.50, 47.00, 0.00, 0.10, 2.58, 8.51
0.79, 37.00, 43.00, 47.00, 0.00, 0.10, 5.56, 1.68
0.79, 37.00, 43.00, 47.00, 0.00, 0.10, 7.12, 5.28
0.79, 37.00, 43.00, 47.00, 0.00, 0.10, 6.90, 4.43
0.79, 37.00, 43.00, 47.00, 0.00, 0.10, 5.94, 3.33
0.76, 61.50, 16.50, 22.50, 0.00, 0.10, 2.96, 3.87
0.76, 61.50, 16.50, 22.50, 0.00, 0.10, 2.12, 4.07
